credit limit,age_group,sex,education,marriage,default_next_month
20000,<25,2,2,1,1
120000,25-35,2,2,2,1
90000,25-35,2,2,2,0
50000,35-50,2,2,1,0
50000,50+,1,2,1,0
50000,35-50,1,1,2,0
500000,25-35,1,1,2,0
100000,<25,2,2,2,0
140000,25-35,2,3,1,0
20000,25-35,1,3,2,0
200000,25-35,2,3,2,0
260000,50+,2,1,2,0
630000,35-50,2,2,2,0
70000,25-35,1,2,2,1
250000,25-35,1,1,2,0
50000,<25,2,3,3,0
20000,<25,1,1,2,1
320000,35-50,1,1,1,0
360000,35-50,2,1,1,0
180000,25-35,2,1,2,0
130000,35-50,2,3,2,0
120000,35-50,2,2,1,1
70000,25-35,2,2,2,1
450000,35-50,2,1,1,1
90000,<25,1,1,2,0
50000,<25,1,3,2,0
60000,25-35,1,1,2,1
50000,25-35,2,3,2,0
50000,35-50,2,3,1,0
50000,25-35,1,1,2,0
230000,25-35,2,1,2,0
50000,25-35,1,2,2,1
100000,25-35,1,1,2,0
500000,50+,2,2,1,0
500000,50+,1,1,1,0
160000,25-35,1,1,2,0
280000,35-50,1,2,1,0
60000,<25,2,2,2,0
50000,<25,1,1,2,1
280000,25-35,1,1,2,0
360000,25-35,1,1,2,0
70000,<25,2,1,2,0
10000,<25,1,2,2,0
140000,35-50,2,2,1,0
40000,25-35,2,1,2,0
210000,25-35,1,1,2,1
20000,<25,2,1,2,1
150000,35-50,2,5,2,1
380000,25-35,1,2,2,0
20000,<25,1,1,2,0
70000,35-50,1,3,2,1
100000,35-50,2,3,3,0
310000,35-50,2,2,1,0
180000,<25,2,1,2,0
150000,25-35,2,1,2,0
500000,35-50,2,1,1,0
180000,25-35,2,3,1,0
180000,25-35,2,2,1,0
200000,25-35,2,1,2,0
400000,25-35,2,2,1,0
500000,25-35,2,3,1,1
70000,35-50,1,2,1,0
50000,25-35,1,1,2,1
50000,35-50,2,2,1,1
130000,50+,2,2,1,0
200000,50+,1,1,1,1
10000,50+,1,2,1,1
210000,25-35,2,1,2,0
130000,25-35,2,3,2,0
20000,<25,1,5,2,0
80000,25-35,1,1,2,0
320000,25-35,1,2,2,1
200000,25-35,2,2,1,0
290000,35-50,2,1,2,0
340000,25-35,1,1,2,0
20000,<25,1,2,2,0
50000,<25,1,3,2,0
300000,35-50,2,1,1,0
30000,<25,2,2,2,1
240000,35-50,2,2,2,1
470000,25-35,2,3,3,0
360000,25-35,2,1,2,0
60000,25-35,1,3,2,1
400000,35-50,2,2,1,0
50000,35-50,2,3,2,0
160000,25-35,1,2,2,0
360000,35-50,2,1,1,1
160000,25-35,2,2,2,0
130000,25-35,2,1,1,0
20000,35-50,1,3,2,0
200000,50+,1,1,1,1
280000,35-50,2,1,2,0
100000,25-35,2,1,2,0
160000,35-50,2,2,1,0
60000,<25,2,2,2,0
90000,25-35,1,2,2,0
360000,35-50,1,1,1,0
150000,25-35,1,1,2,0
50000,<25,2,3,1,0
20000,35-50,1,2,1,1
140000,25-35,1,1,2,0
380000,25-35,2,1,2,0
